calendar_date,site,value,age,scale
2006-12-19,renosterveld,0.4474,2928.833675564682,1
2007-01-01,limestone,0.4491,2928.8692676249143,1
2007-01-01,sand,0.4803,2928.8692676249143,1
2007-01-01,invasion,0.6679,2928.8692676249143,1
2007-01-01,sandstone,0.5878,2928.8692676249143,1
2007-01-01,grass,0.5013000000000001,2928.8692676249143,1
2007-01-01,renosterveld,0.3629,2928.8692676249143,1
2007-01-17,limestone,0.46480000000000005,2928.9130732375083,1
2007-01-17,sand,0.44830000000000003,2928.9130732375083,1
2007-01-17,invasion,0.7285,2928.9130732375083,1
2007-01-17,sandstone,0.5414,2928.9130732375083,1
2007-01-17,grass,0.4297,2928.9130732375083,1
2007-01-17,renosterveld,0.3322,2928.9130732375083,1
2007-02-02,limestone,0.49970000000000003,2928.956878850103,1
2007-02-02,sand,0.538,2928.956878850103,1
2007-02-02,invasion,0.6719,2928.956878850103,1
2007-02-02,sandstone,0.622,2928.956878850103,1
2007-02-02,grass,0.5018,2928.956878850103,1
2007-02-02,renosterveld,0.3528,2928.956878850103,1
2007-02-18,limestone,0.4877,2929.000684462697,1
2007-02-18,sand,0.5047,2929.000684462697,1
2007-02-18,invasion,0.7565000000000001,2929.000684462697,1
2007-02-18,sandstone,0.6173000000000001,2929.000684462697,1
2007-02-18,grass,0.48190000000000005,2929.000684462697,1
2007-02-18,renosterveld,0.37070000000000003,2929.000684462697,1
2007-03-06,limestone,0.4823,2929.044490075291,1
2007-03-06,sand,0.5762,2929.044490075291,1
2007-03-06,invasion,0.7974,2929.044490075291,1
2007-03-06,sandstone,0.6775,2929.044490075291,1
2007-03-06,grass,0.5622,2929.044490075291,1
2007-03-06,renosterveld,0.4471,2929.044490075291,1
2007-03-22,limestone,0.5264,2929.088295687885,1
2007-03-22,sand,0.5478000000000001,2929.088295687885,1
2007-03-22,invasion,0.7273000000000001,2929.088295687885,1
2007-03-22,sandstone,0.6686000000000001,2929.088295687885,1
2007-03-22,grass,0.5537000000000001,2929.088295687885,1
2007-03-22,renosterveld,0.4295,2929.088295687885,1
2007-04-07,limestone,0.48160000000000003,2929.132101300479,1
2007-04-07,sand,0.541,2929.132101300479,1
2007-04-07,invasion,0.7551,2929.132101300479,1
2007-04-07,sandstone,0.6431,2929.132101300479,1
2007-04-07,grass,0.541,2929.132101300479,1
2007-04-07,renosterveld,0.374,2929.132101300479,1
2007-04-23,limestone,0.5878,2929.175906913073,1
2007-04-23,sand,0.6364000000000001,2929.175906913073,1
2007-04-23,invasion,0.7725000000000001,2929.175906913073,1
2007-04-23,sandstone,0.6975,2929.175906913073,1
2007-04-23,grass,0.5868,2929.175906913073,1
2007-04-23,renosterveld,0.4274,2929.175906913073,1
2007-05-09,limestone,0.5744,2929.2197125256675,1
2007-05-09,sand,0.6653,2929.2197125256675,1
2007-05-09,invasion,0.8134,2929.2197125256675,1
2007-05-09,sandstone,0.6838000000000001,2929.2197125256675,1
2007-05-09,grass,0.6257,2929.2197125256675,1
2007-05-09,renosterveld,0.47640000000000005,2929.2197125256675,1
2007-05-25,limestone,0.5819,2929.2635181382616,1
2007-05-25,sand,0.5848,2929.2635181382616,1
2007-05-25,invasion,0.8153,2929.2635181382616,1
2007-05-25,sandstone,0.6906,2929.2635181382616,1
2007-05-25,grass,0.6497,2929.2635181382616,1
2007-05-25,renosterveld,0.5367000000000001,2929.2635181382616,1
2007-06-10,limestone,0.6035,2929.3073237508556,1
2007-06-10,sand,0.5726,2929.3073237508556,1
2007-06-10,invasion,0.8355,2929.3073237508556,1
2007-06-10,sandstone,0.7337,2929.3073237508556,1
2007-06-10,grass,0.5626,2929.3073237508556,1
2007-06-10,renosterveld,0.5881000000000001,2929.3073237508556,1
2007-06-26,limestone,0.5759000000000001,2929.3511293634497,1
2007-06-26,sand,0.6026,2929.3511293634497,1
2007-06-26,invasion,0.7665000000000001,2929.3511293634497,1
2007-06-26,sandstone,0.7422000000000001,2929.3511293634497,1
2007-06-26,grass,0.6411,2929.3511293634497,1
2007-06-26,renosterveld,0.561,2929.3511293634497,1
2007-07-12,limestone,0.5804,2929.3949349760437,1
2007-07-12,sand,0.5653,2929.3949349760437,1
2007-07-12,invasion,0.7654000000000001,2929.3949349760437,1
2007-07-12,sandstone,0.6747000000000001,2929.3949349760437,1
2007-07-12,grass,0.6723,2929.3949349760437,1
2007-07-12,renosterveld,0.5524,2929.3949349760437,1
